Number of paramters: 432961
Epoch 1 Loss: 0.9501, Train: 0.9496, Val: 0.9428 (+-0.0023)
Epoch 2 Loss: 0.7242, Train: 0.7236, Val: 0.5345 (+-0.0000)
Epoch 3 Loss: 0.6249, Train: 0.6246, Val: 0.8091 (+-0.0006)
Epoch 4 Loss: 0.5842, Train: 0.5842, Val: 0.4674 (+-0.0020)
Epoch 5 Loss: 0.5694, Train: 0.5685, Val: 0.5253 (+-0.0007)
Epoch 6 Loss: 0.5320, Train: 0.5307, Val: 0.4930 (+-0.0041)
Epoch 7 Loss: 0.4987, Train: 0.4985, Val: 0.5746 (+-0.0019)
Epoch 8 Loss: 0.4856, Train: 0.4848, Val: 0.4571 (+-0.0030)
Epoch 9 Loss: 0.4717, Train: 0.4716, Val: 0.4485 (+-0.0016)
Epoch 10 Loss: 0.4371, Train: 0.4372, Val: 0.4882 (+-0.0015)
Epoch 11 Loss: 0.4593, Train: 0.4592, Val: 0.5580 (+-0.0024)
Epoch 12 Loss: 0.4361, Train: 0.4359, Val: 0.4442 (+-0.0002)
Epoch 13 Loss: 0.4150, Train: 0.4151, Val: 0.4086 (+-0.0055)
Epoch 14 Loss: 0.4137, Train: 0.4138, Val: 0.3514 (+-0.0009)
Epoch 15 Loss: 0.3916, Train: 0.3916, Val: 0.3666 (+-0.0022)
Epoch 16 Loss: 0.3902, Train: 0.3902, Val: 0.3504 (+-0.0002)
Epoch 17 Loss: 0.3849, Train: 0.3851, Val: 0.3353 (+-0.0009)
Epoch 18 Loss: 0.3620, Train: 0.3618, Val: 0.3252 (+-0.0049)
Epoch 19 Loss: 0.3509, Train: 0.3509, Val: 0.3463 (+-0.0049)
Epoch 20 Loss: 0.3463, Train: 0.3460, Val: 0.3310 (+-0.0021)
Epoch 21 Loss: 0.3601, Train: 0.3592, Val: 0.3130 (+-0.0042)
Epoch 22 Loss: 0.3458, Train: 0.3459, Val: 0.3205 (+-0.0080)
Epoch 23 Loss: 0.3400, Train: 0.3400, Val: 0.3213 (+-0.0006)
